iter	Logloss
0	0.5612611782
5	0.3470136065
10	0.3040547335
15	0.2874384524
20	0.2793447269
25	0.2746294372
30	0.271978421
35	0.2700358351
40	0.268931725
45	0.2682795482
50	0.2675445503
55	0.2670547032
60	0.266759145
65	0.2664886172
70	0.2662683885
75	0.2660918114
80	0.2659769876
85	0.2658291436
90	0.2656518953
95	0.2654488587
100	0.2652270926
105	0.2650545213
110	0.2648650826
115	0.2647747262
120	0.2643550552
125	0.2641924658
130	0.2641131739
135	0.2639868958
140	0.2638803866
145	0.2638031734
150	0.2637295329
155	0.2635740671
160	0.2634668434
165	0.2633330735
170	0.2632370875
175	0.2631582286
180	0.2630993985
185	0.2629996016
190	0.2629376535
195	0.262866438
200	0.2627961536
205	0.262733426
210	0.262652337
215	0.2625964949
220	0.2625099277
225	0.2624629632
230	0.2624266301
235	0.2623853386
240	0.2623199044
245	0.2622707529
250	0.2622342683
255	0.2621937129
260	0.2621583759
265	0.2620883946
270	0.2620361469
275	0.2619731594
280	0.2619315864
285	0.2618975918
290	0.2618596348
295	0.2618173689
300	0.2617528224
305	0.2617192825
310	0.2616791819
315	0.2616307883
320	0.2615918136
325	0.2615391977
330	0.2614937922
335	0.2614564631
340	0.261426734
345	0.2613945366
350	0.2613477886
355	0.2613170636
360	0.2612762484
365	0.2612478185
370	0.2612093202
375	0.2611798509
380	0.2611379315
385	0.2611047597
390	0.2610723024
395	0.2610439808
400	0.261015356
405	0.2609775506
410	0.2609450933
415	0.2609141734
420	0.2608744408
425	0.260842265
430	0.2608115183
435	0.2607845175
440	0.2607493753
445	0.2607165933
450	0.2606843958
455	0.2606431692
460	0.2606115348
465	0.2605805499
470	0.2605529645
475	0.2605221961
480	0.2604876602
485	0.2604591004
490	0.2604194111
495	0.2603908513
500	0.2603619018
505	0.2603366981
510	0.260302054
515	0.2602763307
520	0.2602498495
525	0.2602228271
530	0.2601935311
535	0.2601577826
540	0.2601283567
545	0.2600996453
550	0.2600737488
555	0.2600458819
560	0.260014832
565	0.2599899099
570	0.259966092
575	0.2599353453
580	0.2599067638
585	0.259883942
590	0.2598535417
595	0.2598271905
600	0.2598013373
605	0.2597757439
610	0.2597503454
615	0.2597241457
620	0.2596998298
625	0.2596745612
630	0.2596448755
635	0.2596211442
640	0.259596287
645	0.2595704554
650	0.2595337326
